Timestamp|User_id
2021-05-01T11:00:00Z|u1
2021-05-01T11:25:00Z|u1
2021-05-01T13:13:00Z|u1
2021-05-01T13:23:00Z|u1
2021-05-01T13:33:00Z|u1
2021-05-01T13:53:00Z|u1
2021-05-01T14:10:00Z|u1
2021-05-01T14:30:00Z|u1
2021-05-02T11:45:00Z|u1
2021-05-04T08:15:00Z|u1
2021-05-01T15:00:00Z|u2
2021-05-01T15:15:00Z|u2
2021-05-04T19:00:00Z|u2
2021-05-01T02:13:00Z|u3
2021-05-02T11:00:00Z|u3
2021-05-03T12:15:00Z|u3
2021-05-04T09:00:00Z|u3
2021-05-03T02:15:00Z|u4
2021-05-03T11:00:00Z|u4
2021-05-03T21:00:00Z|u4
2021-12-31T02:15:00Z|u4
2021-12-31T02:20:00Z|u4
2021-12-31T23:40:00Z|u4
2021-12-31T23:55:00Z|u4
2022-01-01T00:10:00Z|u4
2021-12-31T23:15:00Z|u5
2021-12-31T23:20:00Z|u5
2021-12-31T23:40:00Z|u5
2021-12-31T23:55:00Z|u5
2022-01-01T00:10:00Z|u5
2022-01-01T00:20:00Z|u5
2022-01-01T00:40:00Z|u5
2022-01-01T00:50:00Z|u5
2022-01-01T01:10:00Z|u5
2022-01-01T01:15:00Z|u5
2022-01-01T01:25:00Z|u5
2022-01-01T01:45:00Z|u5
2022-01-01T01:55:00Z|u5
2022-01-01T02:15:00Z|u5
2022-01-01T02:25:00Z|u5
2023-01-01T23:25:00Z|u6
2023-01-01T23:45:00Z|u6
2023-01-02T00:01:00Z|u6
2023-01-02T00:15:00Z|u6
2023-01-02T00:25:00Z|u6
