userID|ChannelName|showName|startTime|Endtime
1001|ch001|ufc|2019-02-10 11:12:00|2019-02-10 11:14:00
1001|ch001|ufc|2019-02-10 11:15:00|2019-02-10 11:18:00
1001|ch001|ufc|2019-02-10 11:15:00|2019-02-10 11:19:00
1001|ch001|ufc|2019-02-10 11:21:00|2019-02-10 11:24:00
1001|ch001|ufc|2019-02-10 11:25:00|2019-02-10 11:33:00
1001|ch001|ufc|2019-02-10 11:35:00|2019-02-10 11:39:00
1001|ch001|ufc|2019-02-10 11:41:00|2019-02-10 11:45:00
1001|ch002|f1|2019-02-10 11:25:00|2019-02-10 11:30:00
1002|ch003|f1|2019-02-10 11:12:00|2019-02-10 11:14:00
1002|ch003|f1|2019-02-10 11:15:00|2019-02-10 11:18:00
1002|ch003|f1|2019-02-10 11:15:00|2019-02-10 11:16:00
1002|ch003|f1|2019-02-10 12:15:00|2019-02-10 12:16:00
1002|ch003|f1|2019-02-10 12:15:00|2019-02-10 12:18:00
1002|ch003|f1|2019-02-10 12:19:00|2019-02-10 12:20:00
1002|ch003|f1|2019-02-10 12:25:00|2019-02-10 12:30:00
1003|ch002|f1|2019-02-10 11:45:00|2019-02-10 11:55:00
1003|ch002|f1|2019-02-10 11:56:00|2019-02-10 11:58:00
1004|ch004|f1|2019-02-10 11:43:00|2019-02-10 11:44:00
1004|ch004|f1|2019-02-10 11:45:00|2019-02-10 11:48:00
1004|ch004|f1|2019-02-10 11:49:00|2019-02-10 11:55:00
1004|ch004|f1|2019-02-10 11:57:00|2019-02-10 11:59:00
1005|ch002|f1|2019-02-10 11:56:00|2019-02-10 11:58:00
